,P1,,,,,P2,,,,,,,,,,,P3,,,,,,,,,P4,,,,,,,,,P5,,,,,,,,,,,,,P6,,,,
" Timestamp",FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
" 22/12/2015 4:30:00 PM",0,124.3135,1,1,1,251.9226,8.313446,312.7916,0,1,1,1,1,1,1,1,2.560983,0.0002562214,138.5061,1,1,1,1,1,1,0,169.2387,0,133.8503,1,1,1,1,1,7.44636,175.4166,260.7024,123.3145,0.001538067,0.001408992,0.001664373,0,1,1,9.100231,0,3.3485,0.0002563035,1,1,1,Normal
" 22/12/2015 4:46:37 PM",2.457483,253.4551,2,2,1,261.3432,8.861702,397.7698,2.476276,2,1,1,2,1,2,1,2.564185,0.0002562214,188.8939,1,1,1,1,1,1,0,172.5199,0,131.3125,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:38 PM",2.501041,253.8476,2,2,1,261.3432,8.863945,398.7183,2.476276,2,1,1,2,1,2,1,2.564185,0.0002562214,189.0541,1,1,1,1,1,1,0,172.5199,0,131.274,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:39 PM",2.538833,254.2401,2,2,1,261.3432,8.865227,399.4617,2.476276,2,1,1,2,1,2,1,2.564185,0.0002562214,189.3345,1,1,1,1,1,1,0,172.5199,0,131.3125,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:40 PM",2.572463,254.5541,2,2,1,261.3432,8.865227,400.5896,2.476276,2,1,1,2,1,2,1,2.564185,0.0002562214,189.4947,1,1,1,1,1,1,0,172.5199,0,131.3509,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:41 PM",2.606091,254.9074,2,2,1,261.3432,8.865227,401.4355,2.476276,2,1,1,2,1,2,1,2.564185,0.0002562214,189.9353,1,1,1,1,1,1,0,172.5199,0,131.4663,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:42 PM",2.636838,254.5149,2,2,1,261.3432,8.865227,402.3071,2.476789,2,1,1,2,1,2,1,2.564185,0.0002562214,190.5761,1,1,1,1,1,1,0,172.5199,0,131.4663,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:43 PM",2.669186,254.6326,2,2,1,261.4394,8.865227,403.1018,2.478198,2,1,1,2,1,2,1,2.564185,0.0002562214,190.7364,1,1,1,1,1,1,0,172.5199,0,131.4663,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:44 PM",2.675271,254.9467,2,2,1,261.4394,8.865227,404.1784,2.477301,2,1,1,2,1,2,1,2.564185,0.0002562214,190.9366,1,1,1,1,1,1,0,172.5199,0,131.6586,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:45 PM",2.653172,255.1037,2,2,1,261.4394,8.865227,404.7424,2.474994,2,1,1,2,1,2,1,2.564185,0.0002562214,191.1369,1,1,1,1,1,1,0,172.5199,0,131.7355,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:46 PM",2.630433,254.9467,2,2,1,261.4394,8.865227,405.8447,2.474994,2,1,1,2,1,2,1,2.564185,0.0002562214,191.7377,1,1,1,1,1,1,0,172.5199,0,132.1969,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:47 PM",2.630433,254.9467,2,2,1,261.4394,8.865227,405.8447,2.474994,2,1,1,2,1,2,1,2.564185,0.0002562214,191.7377,1,1,1,1,1,1,0,172.5199,0,132.1969,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:48 PM",2.623707,254.7112,2,2,1,261.4394,8.865227,406.6137,2.474994,2,1,1,2,1,2,1,2.564185,0.0002562214,191.938,1,1,1,1,1,1,0,172.5199,0,132.3122,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:49 PM",2.621785,254.5149,2,2,1,261.4394,8.865868,407.434,2.474994,2,1,1,2,1,2,1,2.564185,0.0002562214,192.1382,1,1,1,1,1,1,0,172.5199,0,132.4276,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:50 PM",2.613138,254.6326,2,2,1,261.4394,8.868431,408.3312,2.474226,2,1,1,2,1,2,1,2.564185,0.0002562214,192.1382,1,1,1,1,1,1,0,172.5199,0,132.5045,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
